stopId,stopName
364,Publix @ NW 13th Street
365,Mother Earth Market
366,University House Apartments
367,Xerographic Copy Center
368,LifeSouth Community Blood Center @ NW 13th Street
369,CVS @ NW 13th Street
370,PNC Bank @ NW 13th Street
371,Gainesville High School
372,Lux 13 Apartments
373,Furniture Kingdom
374,UF Health Homecare
375,Brook WOOD Terrace Neighborhood
376,Cobblestone Apartments
377,Westbound NW 23rd Boulevard @ NW 28th Circle
378,Misty Oaks Apartments
379,Northbound NW 21st Avenue @ NW 33rd Avenue
380,Kiwanis Park
381,Altrusa House of Gainesville
382,Ridgeview Baptist Church
383,Ridgeview Park
384,Girls Place of Alachua County
385,Equilease Square
386,Forest of the Unicorn Neighborhood
387,Walnut Creek Neighborhood
388,Assembly of Gods Church
389,Westbound NW 39th Avenue @ NW 31st Street
390,Westbound NW 39th Avenue @ NW 34th Street
391,Gethsemane Lutheran Church
392,A Child's Dream Pre-School
393,Capri Neighborhood
394,Family Dollar @ NW 34th Street
395,YMCA @ NW 34th Street
396,Barnhill Clinic
397,Eastbound NW 53rd Avenue @ NW 24th Boulevard
398,Sorrento New Home Community
399,The Home Depot @ NW 53rd Avenue
400,Florida Highway Patrol
401,Alachua County Driver's Licenses
402,ABC Liquor Store @ NW 34th Street
403,Kangaroo Gas @ NW 34th Street
404,Pine Ridge Apartments
405,Pine Ridge Apartments
406,Northbound NW 23rd Terrace @ NW 62nd Avenue
407,Hampton Court Apartments
408,Northbound NW 23rd Terrace @ US Hwy 441
409,Walmart Northbound
410,Northside Park
411,Northside Park
412,NorthWOOD Pines Neighborhood
413,NorthWOOD Oaks Neighborhood
414,Barnhill Clinic
415,YMCA @ NW 34th Street
416,Pizza Hut @ NW 34th Street
417,Capri Neighborhood
418,Southbound NW 34th Street @ NW 41st Avenue
419,Eastbound NW 39th Avenue @ NW 34th Street
420,First Assembly Church
421,Walnut Creek Neighborhood
422,Uptown Village Apartments
423,Palmetto WOODs Neighborhood
424,Girls Place of Alachua County
425,Eastbound NW 39th Ave at NW 19th St Green Tree Pk
426,Ridgeview Baptist Church
427,Altrusa House of Gainesville
428,Southbound NW 21st Street @ NW 36th Avenue
429,Glen Springs Apartments
430,Misty Oaks Apartments
431,Gainesville Chinese Church
432,Cobblestone Apartments
433,BrookWOOD Terrace
434,Direct Auto Insurance
435,State Farm Insurance @ NW 13th Street
436,Applebee's @ NW 13th Street
437,All Star Automotive
438,The Gate Food Store @ NW 13th Street
439,ABC Liquor Store @ NW 13th Street
440,The Standard
441,Tigert Hall
442,Southbound SW 13th Street @ Inner Road
443,Southbound SW 13th Street @ Museum Road
444,University Housing Office
445,Health Science Center Administration
446,Shands Hospital @ Archer Road
447,Hunters Run Apartments
448,Westbound SW 40th Place @ NW 26th Terrace
449,Campus Lodge Apartments
450,Lexington Crossing Apartments
451,Lexington Crossing Apartments
452,Gainesville Place Apartments @ SW 35th Place
453,Windsor Park Apartments
454,Northbound SW 27th Street @ SW 35th Place
455,Casablanca East Apartments
456,Arbor Park Apartments
457,Hickory Place Apartments
458,Gator Place Condominiums
459,UF Beef Teaching Unit
460,Towne Parc Apartments
461,University Club Apartments
462,University of Florida Energy Research
463,University Commons Apartments
464,Mt Vernon Apartments @ SW 23rd Drive
465,Campus Edge Condominiums
466,Forestry Field Lab/Plant Growth
467,Cancer and Genetics Research
468,Parking & Transportation Services
469,Commuter Lot Parking Garage @ Gale Lemerand
470,Physics Building
471,Northbound NW 34th Street @ NW 24th Terrace
472,Rawlings Hall
473,Reitz Student Union
474,Commuter Lot Parking Garage
475,Commuter Lot Parking Garage
476,Parking & Transportation Services
477,Cancer & Genetics Research Center
478,IFAS Lab
479,Campus Edge Condominiums
480,Mt Vernon Apartments
481,University Commons Apartments
482,University of Florida Energy Research
483,University Club Apartments
484,Towne Parc Apartments
485,SouthWOOD Apartments
486,Gator Place Condominiums
487,Countryside at the University Apartments
488,Countryside at the University Apartments
489,Southbound SW 23rd Street @ Williston Road
490,The Polos Apartments
491,The Polos Apartments
492,The Polos Apartments
493,NW 17th ST @ NW 16th Avenue
494,Westbound NW 16th Avenue @ NW 18th Street
495,Westbound NW 16th Avenue @ NW 20th Way
496,Forest Ridge Neighborhood
497,Westbound NW 16th Avenue @ NW 23rd Street
498,NW 24th St @ NW 16th Avenue
499,Westbound NW 16th Avenue @ NW 25th Street
500,NW 27th Terrace @ NW 16th Avenue
501,NW 30th Terrace @ NW 16th Avenue
502,Zion Evangelical Lutheran Church
503,Willowcroft Neighborhood
504,NW 16th Boulevard @ NW 37th Boulevard
505,B'Nai Israel School & Day Care
506,Westbound NW 16th Boulevard @ NW 39th Street
507,Capital City Bank @ NW 16th Boulevard
508,Millhopper Shopping Center
509,Floral Expressions
510,Westbound NW 23rd Avenue @ NW 46th Terrace
511,First Church of the Nazarene
512,Northwest Baptist Church
513,Misty Hollow Neighborhood
514,Westbound NW 23rd Avenue @ NW 63rd Terrace
515,Hickory WOODs Neighborhood
516,Quail Ridge Neighborhood
517,Shenandoah Neighborhood
518,Santa Fe College @ NW 83rd Street
519,Santa Fe College Baseball Field
520,Santa Fe College
521,Santa Fe College
522,The Pentecostals of Gainesville
523,Shenandoah Neighborhood
524,Quail Ridge Neighborhood
525,Hickory WOODs Neighborhood
526,Eastbound NW 23rd Avenue @ NW 63rd Terrace
527,Misty Hollow Neighborhood
528,Northwest Baptist Church
529,First Church of the Nazarene
530,Imagine Learning Center
531,Eastbound NW 23rd Avenue @ NW 46th Street
532,Floral Expressions
533,Millhopper Shopping Center @ NW 16th Boulevard
534,Eastbound NW 16th Boulevard @ NW 39th Drive
535,B'Nai Israel School & Day Care
536,Gainesville Baptist
537,Willowcroft Neighborhood
538,Covenant Church
539,BryWOOD Neighborhood
540,Hampton Lane Neighborhood
541,Raintree Neighborhood
542,Eastbound NW 16th Avenue @ NW 23rd St
543,Forest Ridge Neighborhood
544,Eastbound NW 16th Avenue @ NW 20th Way
545,Colony Park Apartments
546,Georgetown Apartments
547,Georgetown Apartments
548,Georgetown Apartments
549,Georgetown Apartments
550,Georgetown Apartments
551,Georgetown Apartments
552,Georgetown Apartments
553,Downtown Library
554,Salvation Army Thrift Store
555,Eastbound E University Avenue @ SE 8th Street
556,Northbound NE 9th Street @ E University Avenue
557,Northbound NE 9th Street @ NE 3rd Avenue
558,Northbound NE 9th Street @ NE 5th Avenue
559,Northbound NE 9th Street @ NE 6th Avenue
560,Northbound NE 9th Street @ NE 8th Avenue
561,Eastbound NE 8th Avenue @ NE 11th Street
562,Sunny Food Mart
563,Jones Edmunds
564,MLK Center
565,MLK Center
566,MLK Center
567,MLK Center
568,Mount Zion Church of God
569,Duval Elementary School
570,Eastbound NE 8th Avenue @ NE 22nd Street
571,Northbound NE 24th Street @ NE 8th Avenue
572,Northbound NE 24th Street @ NE 10th Avenue
573,Northbound NE 24th Street @ NE 10th Avenue
574,Northbound NE 24th Avenue @ NE 24th Street
575,Eastbound NE 12th Avenue @ NE 24th Terrace
576,Southbound NE 25th Street @ NE 11th Place
577,Southbound NE 25th Street @ NE 10th Avenue
578,Southbound NE 25th Street @ NE 8th Avenue
579,Southbound NE 25th Street @ NE 6th Avenue
580,Southbound NE 25th Street @ NE 5th Avenue
581,Southbound NE 25th Street @ NE 3rd Place
582,Eastbound NE 3rd Place @ NE 25th Terrace
583,Eastbound NE 3rd Place @ NE 25th Terrace
584,Eastbound NE 3rd Place @ NE 25th Terrace
585,Eastbound SE 25th Terrace @ E University Avenue
586,Pine Meadows Apartments
587,Fred Cone Park
588,Morningside Nature Center
589,Eastside Plaza
590,Southbound SE 43rd Street @ E University Avenue
591,Compassionate Outreach
592,Lake Forest Trails Neighborhood
593,Lake Forest Trails Neighborhood
594,Lake Forest Trails Neighborhood
595,Lake Forest Trails Neighborhood
596,Lake Forest Elementary School
597,Sunrise Store @ SE 43rd Street
598,Eastside Plaza
599,Morningside Nature Center
600,E. University Ave - Loften High School
601,Fred Cone Park
602,Pine Meadows Apartments
603,Pine Meadows Apartments
604,Pine Meadows Apartments
605,Pine Meadows Apartments
606,Pine Meadows Apartments
607,Northbound SE 25th Street @ NE 5th Avenue
608,Northbound NE 25th Street @ NE 6th Avenue
609,Mt Carmel Baptist Church
610,Northbound NE 25th Street @ NE 10th Avenue
611,Northbound NE 25th Street @ NE 11th Place
612,Westbound NE 12th Avenue @ NE 24th Terrace
613,Westbound NE 12th Avenue @ NE 24th Street
614,Southbound NE 24th Street @ NE 8th Avenue
615,Southbound NE 24th Street @ NE 10th Avenue
616,Southbound NE 24th Street @ NE 8th Avenue
617,Westbound NE 8th Avenue @ NE 23nd Street
618,Duval Elementary School
619,Bartley Temple United Methodist Church
620,Bartley Temple United Methodist Church
621,Bartley Temple United Methodist Church
622,Bartley Temple United Methodist Church
623,Westbound NE 13th Street @ NE 8th Avenue
624,Sunny Food Mart
625,Westbound NE 8th Avenue @ NE 11th Street
626,Roundabout NE 8th Avenue @ NE 9th Street
627,Southbound NE 9th Street @ NE 7th Avenue
628,Southbound NE 9th Street @ NE 6th Avenue
629,Southbound NE 9th Street @ NE 5th Avenue
630,Southbound NE 9th Street @ NE 3rd Avenue
631,Psychic Reader
632,Birth Center of Gainesville
633,Gainesville Eye Doctors
634,Alachua County School Board Administration
635,Gateway at Gainesville Apartments
636,Greenwich Green Apartments
637,Aspen Ridge Apartments
638,Hannah's Condominiums
639,Bella Apartments
640,Park Meadows Health and Rehabilitation Center
641,Summer Place Apartments
642,University Terrace Condominiums
643,Ridgemar Apartments
644,Kangaroo @ SW 34th Street
645,University Town Center
646,University Town Center
647,University Town Center
648,University Town Center
649,University Town Center
650,University Town Center
651,University Town Center
652,Shands Hospital @ Helipad
653,Shands Hospital @ Parking Garage 9
654,Shands Hospital @ Davis Cancer Pavilion
655,Shands Hospital @ Davis Cancer Pavilion
656,Shands Hospital @ Davis Cancer Pavilion
657,Shands Hospital @ Davis Cancer Pavilion
658,Shands Hospital @ Davis Cancer Pavilion
659,Shands Hospital @ Parking Garage 9
660,Shands Hospital @ Helipad
661,Regions Bank @ SW 37th Boulevard
662,McKnight Brain Institute
663,Shands Hospital @ East Parking Garage
664,UF Health Shands North Tower
665,Veteran's Administration Hospital
666,Health Science Center Administration
667,Summit House Condominiums
668,Ronald McDonald House of Gainesville
669,Liv+ Apartments 13th St
670,Dollar General
671,Lakeshore Towers Apartments
672,City College Gainesville
673,Wyndham Garden Hotel
674,Paramount Plaza Hotel & Suites
675,Paramount Plaza Hotel & Suites
676,Chop Stix Cafe
677,The Landings Apartments
678,Residence Inn
679,Meridian Behavioral Healthcare
680,Bridge House
681,US441 South
682,Budget Inn
683,Meridian Behavioral Healthcare
684,Residence Inn
685,The Landings Apartments
686,CDS Family and Behavioral Services
687,Bivens Cove Apartments
688,TangleWOOD Apartments
689,Boardwalk Apartments
690,Econo Lodge
691,Quality Inn Motel
692,Village Square
693,home2 Suites by Hilton
694,Subway @ SW 13th Street
695,Oakbrook Walk Condominiums
696,University Police Department
697,Masonic Temple
698,Sun Trust Bank @ N Main Street
699,Partnership for Strong Families
700,Fire Stone @ N Main Street
701,CVS Pharmacy @ N Main Street
702,CVS Pharmacy @ N Main Street
703,US Post Office @ Main St
704,Kangaroo @ N Main St
705,Parkview Plaza
706,Laundry Mart
707,Pine Grove Apartments
708,McCoy Court Apartments
709,McCoy Court Apartments
710,Pointe 23 Apartments
711,Chelsea Apartments (across)
712,Eastbound NE 23rd Avenue @ NE 9th Terrace
713,NE 23rd Avenue @ NE 11th Terrace
714,Boulware Charter School
715,Smokey Bear Park
716,NE 28th Avenue @ NE 15th Street
717,Northbound NE 15th Street @ NE 28th Avenue
718,Northbound NE 15th Street @ NE 31st Avenue
719,Village Green Apartments
721,NE 39th Ave @ Farside NE 15th St Westbound
722,Eden Park at IronWOOD
723,Highland Court
724,Westbound NE 39th Ave at Main St - Gsville Nissan
725,Southeast Car Agency
726,Bella Vista Village
727,Oasis Carwash
728,Stephen Foster Elementary School
729,Southbound SW 6th Street @ NW 36th Avenue
730,Southbound NW 6th Street @ NW 32nd Place
731,Southbound NW 6th Street @ NW 30th Avenue
732,Oak Gate Condominiums
733,IBEW Local 1205
734,Progressive Insurance @ NW 6th Street
735,Renas Let's Dance
736,Wesley United Methodist Church
737,NW 23rd Avenue @ NW 12th St
738,Palms at Brook Valley Apartments
